Time,True,Pred,Diff_Ratio
00:00,1511.568,1668.8016,0.10402022
01:00,1050.5051,1168.9535,0.11275373
02:00,905.1623,778.56274,0.13986392
03:00,856.71796,657.00525,0.23311372
04:00,819.8324,552.61865,0.32593703
05:00,778.0018,638.1753,0.17972514
06:00,770.66315,577.1531,0.25109553
07:00,848.1953,764.9694,0.09812114
08:00,1232.3801,1083.5977,0.12072774
09:00,1757.4286,1854.6665,0.055329654
10:00,3572.522,2779.7834,0.22189885
11:00,5427.866,3927.6675,0.27638832
12:00,5583.6875,4284.8706,0.23260917
13:00,5789.154,4380.1284,0.24339056
14:00,5773.5244,6238.3076,0.08050251
15:00,5642.86,4930.736,0.12619913
16:00,5545.177,5555.089,0.0017875191
17:00,5456.9976,5902.122,0.08156949
18:00,5688.0737,6396.9497,0.12462496
19:00,5884.5854,6911.26,0.17446841
20:00,5896.6274,6217.833,0.05447276
21:00,5818.469,4790.007,0.17675824
22:00,5453.5596,4221.937,0.22583829
23:00,2868.412,2828.0176,0.014082541
